Introduced,Resident,Location
Eleutherodactylus planirostris,"['Eleutherodactylus albolabris', 'Eleutherodactylus alticola', 'Eleutherodactylus andrewsi', 'Eleutherodactylus angustidigitorum', 'Eleutherodactylus campi', 'Eleutherodactylus cavernicola', 'Eleutherodactylus coelum', 'Eleutherodactylus colimotl', 'Eleutherodactylus cundalli', 'Eleutherodactylus cystignathoides', 'Eleutherodactylus dennisi', 'Eleutherodactylus dilatus', 'Eleutherodactylus erendirae', 'Eleutherodactylus erythrochomus', 'Eleutherodactylus floresvillelai', 'Eleutherodactylus franzi', 'Eleutherodactylus fuscus', 'Eleutherodactylus glaucoreius', 'Eleutherodactylus gossei', 'Eleutherodactylus grabhami', 'Eleutherodactylus grandis', 'Eleutherodactylus griphus', 'Eleutherodactylus grunwaldi', 'Eleutherodactylus guttilatus', 'Eleutherodactylus humboldti', 'Eleutherodactylus interorbitalis', 'Eleutherodactylus jaliscoensis', 'Eleutherodactylus jamaicensis', 'Eleutherodactylus jamesdixoni', 'Eleutherodactylus junori', 'Eleutherodactylus leprus', 'Eleutherodactylus longipes', 'Eleutherodactylus luteolus', 'Eleutherodactylus maculabialis', 'Eleutherodactylus manantlanensis', 'Eleutherodactylus maurus', 'Eleutherodactylus modestus', 'Eleutherodactylus nebulosus', 'Eleutherodactylus nietoi', 'Eleutherodactylus nitidus', 'Eleutherodactylus nubicola', 'Eleutherodactylus orarius', 'Eleutherodactylus orcutti', 'Eleutherodactylus pallidus', 'Eleutherodactylus pantoni', 'Eleutherodactylus pentasyringos', 'Eleutherodactylus petersi', 'Eleutherodactylus pipilans', 'Eleutherodactylus potosiensis', 'Eleutherodactylus rubrimaculatus', 'Eleutherodactylus rufescens', 'Eleutherodactylus saxatilis', 'Eleutherodactylus sentinelus', 'Eleutherodactylus sisyphodemus', 'Eleutherodactylus syristes', 'Eleutherodactylus teretistes', 'Eleutherodactylus verrucipes', 'Eleutherodactylus verruculatus', 'Eleutherodactylus wixarika', 'Eleutherodactylus marnockii']","[['Mexico'], ['Jamaica'], ['Jamaica'], ['Mexico'], ['Mexico', 'United States of America - Texas'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Jamaica'], ['Jamaica'], ['Jamaica'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Mexico', 'United States of America - Texas'], ['Mexico'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Jamaica'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Jamaica'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['Mexico'], ['United States of America - Texas']]"
Fejervarya cancrivora,"['Fejervarya iskandari', 'Fejervarya limnocharis', 'Fejervarya moodiei', 'Fejervarya verruculosa', 'Fejervarya vittigera']","[['Indonesia'], ['Indonesia'], ['Philippines'], ['Indonesia'], ['Philippines']]"
Fejervarya kawamurai,['Fejervarya sakishimensis'],[['Japan']]
Hyla intermedia,['Hyla arborea'],[['Netherlands']]
Hyla meridionalis,['Hyla molleri'],[['Spain']]
Hyla orientalis,['Hyla arborea'],"[['Latvia', 'Netherlands']]"
Hylarana erythraea,"['Hylarana arfaki', 'Hylarana aurata', 'Hylarana baramica', 'Hylarana celebensis', 'Hylarana centropeninsularis', 'Hylarana chalconota', 'Hylarana daemeli', 'Hylarana debussyi', 'Hylarana decorata', 'Hylarana elberti', 'Hylarana fantastica', 'Hylarana florensis', 'Hylarana garritor', 'Hylarana glandulosa', 'Hylarana grisea', 'Hylarana jimiensis', 'Hylarana laterimaculata', 'Hylarana luctuosa', 'Hylarana macrops', 'Hylarana megalonesa', 'Hylarana mocquardii', 'Hylarana moluccana', 'Hylarana nicobariensis', 'Hylarana nigroverrucosa', 'Hylarana nigrovittata', 'Hylarana novaeguineae', 'Hylarana papua', 'Hylarana parvaccola', 'Hylarana persimilis', 'Hylarana picturata', 'Hylarana raniceps', 'Hylarana rawa', 'Hylarana rufipes', 'Hylarana siberu', 'Hylarana signata', 'Hylarana sundabarat', 'Hylarana supragrisea', 'Hylarana volkerjane', 'Hylarana grandocula', 'Hylarana guttmani', 'Hylarana mangyanum', 'Hylarana melanomenta', 'Hylarana moellendorffi', 'Hylarana similis']","[['Indonesia', 'Indonesia - Papua Region'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia', 'Philippines'], ['Indonesia'], ['Indonesia'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia', 'Indonesia - Papua Region'], ['Indonesia', 'Indonesia - Papua Region'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines']]"
Hylarana guentheri,"['Hylarana baramica', 'Hylarana erythraea', 'Hylarana labialis', 'Hylarana laterimaculata']","[['Singapore'], ['Singapore'], ['Singapore'], ['Singapore']]"
Ingerophrynus biporcatus,"['Ingerophrynus celebensis', 'Ingerophrynus claviger', 'Ingerophrynus divergens', 'Ingerophrynus parvus', 'Ingerophrynus quadriporcatus']","[['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia'], ['Indonesia']]"
Kaloula pulchra,"['Kaloula baleata', 'Kaloula conjuncta', 'Kaloula kalingensis', 'Kaloula kokacii', 'Kaloula meridionalis', 'Kaloula picta', 'Kaloula rigida', 'Kaloula walteri']","[['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines'], ['Philippines']]"
