"","Species","Natural_Resident","Introduced","Endemic","Likely"
"57","Eleutherodactylus franzi Grünwald, Montaño-Ruvalcaba, Jones, Ahumada-Carrillo, Grünwald, Zheng, Strickland, and Reyes-Velasco, 2023","Mexico","","Mexico",""
"58","Eleutherodactylus grandis (Dixon, 1957)","Mexico","","Mexico",""
"59","Eleutherodactylus grunwaldi Reyes-Velasco, Ahumada-Carrillo, Burkhardt, and Devitt, 2015","Mexico","","Mexico",""
"60","Eleutherodactylus guttilatus (Cope, 1879)","Mexico, United States of America, United States of America - Texas","","",""
"61","Eleutherodactylus humboldti Devitt, Tseng, Taylor-Adair, Koganti, Timugura, and Cannatella, 2023","Mexico","","Mexico",""
"62","Eleutherodactylus interorbitalis (Langebartel and Shannon, 1956)","Mexico","","Mexico",""
"63","Eleutherodactylus jaliscoensis Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"64","Eleutherodactylus jamesdixoni Devitt, Tseng, Taylor-Adair, Koganti, Timugura, and Cannatella, 2023","Mexico","","Mexico",""
"65","Eleutherodactylus leprus (Cope, 1879)","Belize, Guatemala, Mexico","","",""
"66","Eleutherodactylus longipes (Baird, 1859)","Mexico","","Mexico",""
"67","Eleutherodactylus maculabialis  Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Rodriguez, and Jones, 2021","Mexico","","Mexico",""
"68","Eleutherodactylus manantlanensis Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"69","Eleutherodactylus maurus Hedges, 1989","Mexico","","Mexico",""
"70","Eleutherodactylus modestus (Taylor, 1942)","Mexico","","Mexico",""
"71","Eleutherodactylus nebulosus (Taylor, 1943)","Mexico","","Mexico",""
"72","Eleutherodactylus nietoi Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Jones, and Boissinot, 2018","Mexico","","Mexico",""
"73","Eleutherodactylus nitidus (Peters, 1870)","Mexico","","Mexico",""
"74","Eleutherodactylus orarius (Dixon, 1957)","Mexico","","Mexico",""
"75","Eleutherodactylus pallidus (Duellman, 1958)","Mexico","","Mexico",""
"76","Eleutherodactylus petersi (Duellman, 1954)","Mexico","","Mexico",""
"77","Eleutherodactylus pipilans (Taylor, 1940)","Guatemala, Mexico","","",""
"78","Eleutherodactylus planirostris (Cope, 1862)","Bahamas, Cayman Islands, Cuba","China, People's Republic of, Colombia, Costa Rica, El Salvador, Grenada, Guam, Honduras, Jamaica, Mexico, Nicaragua, Nigeria, Philippines, Saint Barthélemy, Saint Vincent and the Grenadines, Saint-Martin/Sint Maarten, Singapore, Suriname, Turks and Caicos Islands, United States of America, United States of America - Alabama, United States of America - Florida, United States of America - Georgia, United States of America - Hawaii, United States of America - Louisiana, United States of America - Mississippi, United States of America - South Carolina, United States of America - Texas","",""
"79","Eleutherodactylus potosiensis Hernández-Austria, García-Vázquez, Grünwald, and Parra-Olea, 2022","Mexico","","Mexico",""
"80","Eleutherodactylus rubrimaculatus (Taylor and Smith, 1945)","Guatemala, Mexico","","",""
"81","Eleutherodactylus rufescens (Duellman and Dixon, 1959)","Mexico","","Mexico",""
"82","Eleutherodactylus saxatilis (Webb, 1962)","Mexico","","Mexico",""
"83","Eleutherodactylus sentinelus Grünwald, Reyes-Velasco, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, Rodriguez, and Jones, 2021","Mexico","","Mexico",""
"84","Eleutherodactylus syristes (Hoyt, 1965)","Mexico","","Mexico",""
"85","Eleutherodactylus teretistes (Duellman, 1958)","Mexico","","Mexico",""
"86","Eleutherodactylus verrucipes (Cope, 1885)","Mexico","","Mexico",""
"87","Eleutherodactylus verruculatus (Peters, 1870)","Mexico","","Mexico",""
"88","Eleutherodactylus wixarika Reyes-Velasco, Ahumada-Carrillo, Burkhardt, and Devitt, 2015","Mexico","","Mexico",""
"89","Anaxyrus boreas (Baird and Girard, 1852)","Canada, Mexico, United States of America, United States of America - Alaska, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - New Mexico, United States of America - Oregon, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"90","Anaxyrus californicus (Camp, 1915)","Mexico, United States of America, United States of America - California","","",""
"91","Anaxyrus cognatus (Say, 1822)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Iowa, United States of America - Kansas, United States of America - Minnesota, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Wyoming","","",""
"92","Anaxyrus compactilis (Wiegmann, 1833)","Mexico","","Mexico",""
"93","Anaxyrus debilis (Girard, 1854)","Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Kansas, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"94","Anaxyrus kelloggi (Taylor, 1938)","Mexico","","Mexico",""
"95","Anaxyrus mexicanus (Brocchi, 1879)","Mexico","","Mexico",""
"96","Anaxyrus punctatus (Baird and Girard, 1852)","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Colorado, United States of America - Kansas, United States of America - Nevada, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas, United States of America - Utah","","",""
"97","Anaxyrus retiformis (Sanders and Smith, 1951)","Mexico, United States of America, United States of America - Arizona","","",""
"98","Anaxyrus speciosus (Girard, 1854)","Mexico, United States of America, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"99","Anaxyrus woodhousii (Girard, 1854)","Mexico, United States of America, United States of America - Arizona, United States of America - Arkansas, United States of America - California, United States of America - Colorado, United States of America - Idaho, United States of America - Iowa, United States of America - Kansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Missouri, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - Oregon, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","","",""
"100","Incilius alvarius (Girard, 1859)","Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - New Mexico","","",""
"101","Incilius aurarius Mendelson, Mulcahy, Snell, Acevedo, and Campbell, 2012","Guatemala, Mexico","","",""
"102","Incilius bocourti (Brocchi, 1877)","Guatemala, Mexico","","",""
"103","Incilius campbelli (Mendelson, 1994)","Belize, Guatemala, Honduras, Mexico","","",""
"104","Incilius canaliferus (Cope, 1877)","El Salvador, Guatemala, Mexico","","",""
"105","Incilius cavifrons (Firschein, 1950)","Mexico","","Mexico",""
"106","Incilius coccifer (Cope, 1866)","Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","",""
"107","Incilius cristatus (Wiegmann, 1833)","Mexico","","Mexico",""
"108","Incilius cycladen (Lynch and Smith, 1966)","Mexico","","Mexico",""
"109","Incilius gemmifer (Taylor, 1940)","Mexico","","Mexico",""
"110","Incilius luetkenii (Boulenger, 1891)","Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","",""
"111","Incilius macrocristatus (Firschein and Smith, 1957)","Guatemala, Mexico","","",""
"112","Incilius marmoreus (Wiegmann, 1833)","Mexico","","Mexico",""
"113","Incilius mazatlanensis (Taylor, 1940)","Mexico","","Mexico",""
"114","Incilius mccoyi Santos-Barrera and Flores-Villela, 2011","Mexico","","Mexico",""
"115","Incilius nebulifer (Girard, 1854)","Mexico, United States of America, United States of America - Alabama, United States of America - Arkansas, United States of America - Louisiana, United States of America - Mississippi, United States of America - Texas","","",""
"116","Incilius occidentalis (Camerano, 1879)","Mexico","","Mexico",""
"117","Incilius perplexus (Taylor, 1943)","Mexico","","Mexico",""
"118","Incilius pisinnus (Mendelson, Williams, Sheil, and Mulcahy, 2005)","Mexico","","Mexico",""
"119","Incilius spiculatus (Mendelson, 1997)","Mexico","","Mexico",""
"120","Incilius tacanensis (Smith, 1952)","Guatemala, Mexico","","",""
"121","Incilius tutelarius (Mendelson, 1997)","Guatemala, Mexico","","",""
"122","Incilius valliceps (Wiegmann, 1833)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","",""
"123","Rhinella horribilis (Wiegmann, 1833)","Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States of America, United States of America - Texas, Venezuela","United States of America, United States of America - Florida","",""
"124","Hyalinobatrachium viridissimum (Taylor, 1942)","Belize, Guatemala, Honduras, Mexico","","","NA"
"125","Acris blanchardi Harper, 1947","Canada, Mexico, United States of America, United States of America - Arkansas, United States of America - Colorado, United States of America - Illinois, United States of America - Indiana, United States of America - Iowa, United States of America - Kansas, United States of America - Kentucky, United States of America - Louisiana, United States of America - Michigan, United States of America - Minnesota, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Ohio, United States of America - Oklahoma, United States of America - South Dakota, United States of America - Texas, United States of America - West Virginia, United States of America - Wisconsin","","",""
"126","Bromeliohyla bromeliacia (Schmidt, 1933)","Belize, Guatemala, Honduras, Mexico","","",""
"127","Bromeliohyla dendroscarta (Taylor, 1940)","Mexico","","Mexico",""
"128","Charadrahyla altipotens (Duellman, 1968)","Mexico","","Mexico",""
"129","Charadrahyla chaneque (Duellman, 1961)","Mexico","","Mexico",""
"130","Charadrahyla esperancensis Canseco-Márquez, Ramírez-González, and González-Bernal, 2017","Mexico","","Mexico",""
"131","Charadrahyla juanitae (Snyder, 1972)","Mexico","","Mexico",""
"132","Charadrahyla nephila (Mendelson and Campbell, 1999)","Mexico","","Mexico",""
"133","Charadrahyla pinorum (Taylor, 1937)","Mexico","","Mexico",""
"134","Charadrahyla sakbah Jiménez-Arcos, Calzada-Arciniega, Alfaro-Juantorena, Vázquez-Reyes, Blair, and Parra-Olea, 2019","Mexico","","Mexico",""
"135","Charadrahyla taeniopus (Günther, 1901)","Mexico","","Mexico",""
"136","Charadrahyla tecuani Campbell, Blancas-Hernández, and Smith, 2009","Mexico","","Mexico",""
"137","Charadrahyla trux (Adler and Dennis, 1972)","Mexico","","Mexico",""
"138","Dendropsophus ebraccatus (Cope, 1874)","Belize, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Mexico, Nicaragua, Panama","","",""
"139","Dendropsophus microcephalus (Cope, 1886)","Belize, Brazil, Colombia, Costa Rica, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Suriname, Trinidad and Tobago, Venezuela","","","NA"
"140","Dendropsophus robertmertensi (Taylor, 1937)","El Salvador, Guatemala, Mexico","","",""
"141","Dendropsophus sartori (Smith, 1951)","Mexico","","Mexico",""
"142","Dryophytes arboricola (Taylor, 1941)","Mexico","","Mexico",""
"143","Dryophytes arenicolor (Cope, 1866)","Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Nevada, United States of America - New Mexico, United States of America - Texas, United States of America - Utah","","",""
"144","Dryophytes euphorbiaceus (Günther, 1858)","Mexico","","Mexico",""
"145","Dryophytes eximius (Baird, 1854)","Mexico","","Mexico",""
"146","Dryophytes plicatus (Brocchi, 1877)","Mexico","","Mexico",""
"147","Dryophytes walkeri (Stuart, 1954)","Guatemala, Mexico","","",""
"148","Dryophytes wrightorum (Taylor, 1939)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico","","",""
"149","Duellmanohyla chamulae (Duellman, 1961)","Mexico","","Mexico",""
"150","Duellmanohyla ignicolor (Duellman, 1961)","Mexico","","Mexico",""
"151","Duellmanohyla schmidtorum (Stuart, 1954)","Guatemala, Mexico","","",""
"152","Ecnomiohyla echinata (Duellman, 1961)","Mexico","","Mexico",""
"153","Ecnomiohyla minera (Wilson, McCranie, and Williams, 1985)","Belize, Guatemala, Mexico","","",""
"154","Ecnomiohyla valancifer (Firschein and Smith, 1956)","Mexico","","Mexico",""
"155","Exerodonta abdivita (Campbell and Duellman, 2000)","Mexico","","Mexico",""
"156","Exerodonta bivocata (Duellman and Hoyt, 1961)","Mexico","","Mexico",""
"157","Exerodonta chimalapa (Mendelson and Campbell, 1994)","Mexico","","Mexico",""
"158","Exerodonta melanomma (Taylor, 1940)","Mexico","","Mexico",""
"159","Exerodonta smaragdina (Taylor, 1940)","Mexico","","Mexico",""
"160","Exerodonta sumichrasti Brocchi, 1879","Mexico","","Mexico",""
"161","Exerodonta xera (Mendelson and Campbell, 1994)","Mexico","","Mexico",""
"162","Megastomatohyla mixe (Duellman, 1965)","Mexico","","Mexico",""
"163","Megastomatohyla mixomaculata (Taylor, 1950)","Mexico","","Mexico",""
"164","Megastomatohyla nubicola (Duellman, 1964)","Mexico","","Mexico",""
"165","Megastomatohyla pellita (Duellman, 1968)","Mexico","","Mexico",""
"166","Plectrohyla acanthodes Duellman and Campbell, 1992","Guatemala, Mexico","","",""
"167","Plectrohyla avia Stuart, 1952","Guatemala, Mexico","","",""
"168","Plectrohyla guatemalensis Brocchi, 1877","El Salvador, Guatemala, Honduras, Mexico, Nicaragua","","",""
"169","Plectrohyla hartwegi Duellman, 1968","Guatemala, Honduras, Mexico","","",""
"170","Plectrohyla ixil Stuart, 1942","Guatemala, Mexico","","",""
"171","Plectrohyla lacertosa Bumzahem and Smith, 1954","Mexico","","Mexico",""
"172","Plectrohyla matudai Hartweg, 1941","Guatemala, Honduras, Mexico","","",""
"173","Plectrohyla pycnochila Rabb, 1959","Mexico","","Mexico",""
"174","Plectrohyla sagorum Hartweg, 1941","El Salvador, Guatemala, Mexico","","",""
"175","Pseudacris cadaverina (Cope, 1866)","Mexico, United States of America, United States of America - California","","",""
"176","Pseudacris clarkii (Baird, 1854)","Mexico, United States of America, United States of America - Kansas, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"177","Pseudacris regilla (Baird and Girard, 1852)","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - California, United States of America - Idaho, United States of America - Montana, United States of America - Nevada, United States of America - Oregon, United States of America - Utah, United States of America - Washington","United States of America - Alaska","",""
"178","Ptychohyla dendrophasma (Campbell, Smith, and Acevedo, 2000)","Guatemala","","Guatemala","NA"
"179","Ptychohyla euthysanota (Kellogg, 1928)","El Salvador, Guatemala, Honduras, Mexico","","",""
"180","Ptychohyla leonhardschultzei (Ahl, 1934)","Mexico","","Mexico",""
"181","Ptychohyla macrotympanum (Tanner, 1957)","Guatemala, Mexico","","",""
"182","Ptychohyla zophodes Campbell and Duellman, 2000","Mexico","","Mexico",""
"183","Quilticohyla acrochorda (Campbell and Duellman, 2000)","Mexico","","Mexico",""
"184","Quilticohyla erythromma (Taylor, 1937)","Mexico","","Mexico",""
"185","Quilticohyla zoque (Canseco-Márquez, Aguilar-López, Luría-Manzano, Pineda-Arredondo, and Caviedes-Solis, 2017)","Mexico","","Mexico",""
"186","Rheohyla miotympanum (Cope, 1863)","Mexico","","Mexico",""
"187","Sarcohyla ameibothalame (Canseco-Márquez, Mendelson, and Gutiérrez-Mayén, 2002)","Mexico","","Mexico",""
"188","Sarcohyla arborescandens (Taylor, 1939)","Mexico","","Mexico",""
"189","Sarcohyla bistincta (Cope, 1877)","Mexico","","Mexico",""
"190","Sarcohyla calvicollina (Toal, 1994)","Mexico","","Mexico",""
"191","Sarcohyla celata (Toal and Mendelson, 1995)","Mexico","","Mexico",""
"192","Sarcohyla cembra (Caldwell, 1974)","Mexico","","Mexico",""
"193","Sarcohyla charadricola (Duellman, 1964)","Mexico","","Mexico",""
"194","Sarcohyla chryses (Adler, 1965)","Mexico","","Mexico",""
"195","Sarcohyla crassa (Brocchi, 1877)","Mexico","","Mexico",""
"196","Sarcohyla cyanomma (Caldwell, 1974)","Mexico","","Mexico",""
"197","Sarcohyla cyclada (Campbell and Duellman, 2000)","Mexico","","Mexico",""
"198","Sarcohyla floresi Kaplan, Heimes, and Aguilar, 2020","Mexico","","Mexico",""
"199","Sarcohyla hapsa Campbell, Brodie, Caviedes-Solis, Nieto-Montes de Oca, Luja, Flores-Villela, García-Vázquez, Sarker, and Wostl, 2018","Mexico","","Mexico",""
"200","Sarcohyla hazelae (Taylor, 1940)","Mexico","","Mexico",""
"201","Sarcohyla labeculata (Shannon, 1951)","Mexico","","Mexico",""
"202","Sarcohyla labedactyla (Mendelson and Toal, 1996)","Mexico","","Mexico",""
"203","Sarcohyla miahuatlanensis (Meik, Smith, Canseco-Márquez, and Campbell, 2006)","Mexico","","Mexico",""
"204","Sarcohyla mykter (Adler and Dennis, 1972)","Mexico","","Mexico",""
"205","Sarcohyla pachyderma (Taylor, 1942)","Mexico","","Mexico",""
"206","Sarcohyla pentheter (Adler, 1965)","Mexico","","Mexico",""
"207","Sarcohyla psarosema (Campbell and Duellman, 2000)","Mexico","","Mexico",""
"208","Sarcohyla robertsorum (Taylor, 1940)","Mexico","","Mexico",""
"209","Sarcohyla sabrina (Caldwell, 1974)","Mexico","","Mexico",""
"210","Sarcohyla siopela (Duellman, 1968)","Mexico","","Mexico",""
"211","Sarcohyla thorectes (Adler, 1965)","Mexico","","Mexico",""
"212","Sarcohyla toyota Grünwald, Franz-Chávez, Morales-Flores, Ahumada-Carrillo, and Jones, 2019","Mexico","","Mexico",""
"213","Scinax staufferi (Cope, 1865)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama","","",""
"214","Smilisca baudinii (Duméril and Bibron, 1841)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America, United States of America - Texas","","",""
"215","Smilisca cyanosticta (Smith, 1953)","Belize, Guatemala, Mexico","","",""
"216","Smilisca dentata (Smith, 1957)","Mexico","","Mexico",""
"217","Smilisca fodiens (Boulenger, 1882)","Mexico, United States of America, United States of America - Arizona","","",""
"218","Tlalocohyla godmani (Günther, 1901)","Mexico","","Mexico",""
"219","Tlalocohyla loquax (Gaige and Stuart, 1934)","Belize, Costa Rica, Guatemala, Honduras, Mexico, Nicaragua","","",""
"220","Tlalocohyla picta (Günther, 1901)","Belize, Guatemala, Honduras, Mexico","","",""
"221","Tlalocohyla smithii (Boulenger, 1902)","Mexico","","Mexico",""
"222","Trachycephalus ""vermiculatus""","Argentina, Belize, Bolivia, Brazil, Colombia, Costa Rica, Ecuador, El Salvador, French Guiana, Guatemala, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Trinidad and Tobago, Venezuela","","",""
"223","Triprion petasatus (Cope, 1865)","Belize, Guatemala, Honduras, Mexico","","",""
"224","Triprion spatulatus Günther, 1882","Mexico","","Mexico",""
"225","Triprion spinosus (Steindachner, 1864)","Costa Rica, Honduras, Mexico, Nicaragua, Panama","","",""
"226","Agalychnis callidryas (Cope, 1862)","Colombia, Costa Rica, Honduras, Mexico, Nicaragua, Panama","","",""
"227","Agalychnis dacnicolor (Cope, 1864)","Mexico","","Mexico",""
"228","Agalychnis moreletii (Duméril, 1853)","Belize, El Salvador, Guatemala, Honduras, Mexico","","",""
"229","Agalychnis taylori Funkhouser, 1957","Belize, Guatemala, Honduras, Mexico","","",""
"230","Engystomops pustulosus (Cope, 1864)","Belize, Colombia, Costa Rica, El Salvador, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Panama, Trinidad and Tobago, Venezuela","","",""
"231","Leptodactylus fragilis (Brocchi, 1877)","Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, United States of America, United States of America - Texas, Venezuela","Colombia, Cuba","",""
"232","Leptodactylus melanonotus (Hallowell, 1861)","Belize, Colombia, Costa Rica, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama","","",""
"233","Gastrophryne elegans (Boulenger, 1882)","Belize, Guatemala, Honduras, Mexico","","",""
"234","Gastrophryne mazatlanensis (Taylor, 1943)","Mexico, United States of America, United States of America - Arizona, United States of America - New Mexico","","",""
"235","Gastrophryne olivacea (Hallowell, 1856)","Mexico, United States of America, United States of America - Arkansas, United States of America - Colorado, United States of America - Kansas, United States of America - Missouri, United States of America - Nebraska, United States of America - New Mexico, United States of America - Oklahoma, United States of America - Texas","","",""
"236","Hypopachus barberi Schmidt, 1939","El Salvador, Guatemala, Honduras, Mexico","","",""
"237","Hypopachus ustus (Cope, 1866)","El Salvador, Guatemala, Mexico","","",""
"238","Hypopachus variolosus (Cope, 1866)","Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, United States of America, United States of America - Texas","","",""
"239","Xenopus laevis (Daudin, 1802)","Angola, Botswana, Eswatini, Lesotho, Malawi, Mozambique, Namibia, South Africa, Zambia, Zimbabwe","Belgium, Chile, China, People's Republic of, France, Indonesia, Italy, Japan, Mexico, Portugal, Spain, United Kingdom, United States of America, United States of America - Arizona, United States of America - California, United States of America - Florida","",""
"240","Amerana boylii (Baird, 1854)","Mexico, United States of America, United States of America - California, United States of America - Oregon","","",""
"241","Amerana draytonii (Baird and Girard, 1852)","Mexico, United States of America, United States of America - California","","",""
