"","Species","Natural_Resident","Introduced","Endemic","Likely"
"283","Ambystoma mavortium Baird, 1850","Canada, Mexico, United States of America, United States of America - Arizona, United States of America - Colorado, United States of America - Idaho, United States of America - Kansas, United States of America - Montana, United States of America - Nebraska, United States of America - Nevada, United States of America - New Mexico, United States of America - North Dakota, United States of America - Oklahoma, United States of America - Oregon, United States of America - South Dakota, United States of America - Texas, United States of America - Utah, United States of America - Washington, United States of America - Wyoming","United States of America - Arizona, United States of America - California, United States of America - Nevada, United States of America - Oregon, United States of America - Washington","",""
"284","Ambystoma mexicanum (Shaw and Nodder, 1798)","Mexico","","Mexico",""
"285","Ambystoma ordinarium Taylor, 1940","Mexico","","Mexico",""
"286","Ambystoma rosaceum Taylor, 1941","Mexico","","Mexico",""
"287","Ambystoma silvense Webb, 2004","Mexico","","Mexico",""
"288","Ambystoma velasci Dugès, 1888","Mexico","","Mexico",""
"289","Aquiloeurycea cafetalera (Parra-Olea, Rovito, Márquez-Valdelmar, Cruz, Murrieta-Galindo, and Wake, 2010)","Mexico","","Mexico",""
"290","Aquiloeurycea cephalica (Cope, 1865)","Mexico","","Mexico",""
"291","Aquiloeurycea galeanae (Taylor, 1941)","Mexico","","Mexico",""
"292","Aquiloeurycea praecellens (Rabb, 1955)","Mexico","","Mexico",""
"293","Aquiloeurycea quetzalanensis (Parra-Olea, Canseco-Márquez, and García-París, 2004)","Mexico","","Mexico",""
"294","Aquiloeurycea rubrimembris Taylor and Smith, 1945","Mexico","","Mexico",""
"295","Aquiloeurycea scandens (Walker, 1955)","Mexico","","Mexico",""
"296","Batrachoseps major Camp, 1915","Mexico, United States of America, United States of America - California","United States of America - California","",""
"297","Bolitoglossa alberchi García-París, Parra-Olea, Brame, and Wake, 2002","Mexico","","Mexico",""
"298","Bolitoglossa chinanteca Rovito, Parra-Olea, Lee, and Wake, 2012","Mexico","","Mexico",""
"299","Bolitoglossa coaxtlahuacana Palacios-Aguilar, Cisneros-Bernal, Arias-Montiel, and Parra-Olea, 2020","Mexico","","Mexico",""
"300","Bolitoglossa engelhardti (Schmidt, 1936)","Guatemala, Mexico","","",""
"301","Bolitoglossa flavimembris (Schmidt, 1936)","Guatemala, Mexico","","",""
"302","Bolitoglossa flaviventris (Schmidt, 1936)","Guatemala, Mexico","","",""
"303","Bolitoglossa franklini (Schmidt, 1936)","Guatemala, Mexico","","",""
"304","Bolitoglossa hartwegi Wake and Brame, 1969","Guatemala, Mexico","","",""
"305","Bolitoglossa hermosa Papenfuss, Wake, and Adler, 1984","Mexico","","Mexico",""
"306","Bolitoglossa lincolni (Stuart, 1943)","Guatemala, Mexico","","",""
"307","Bolitoglossa macrinii (Lafrentz, 1930)","Mexico","","Mexico",""
"308","Bolitoglossa mexicana Duméril, Bibron, and Duméril, 1854","Belize, Guatemala, Honduras, Mexico","","","NA"
"309","Bolitoglossa mulleri (Brocchi, 1883)","Guatemala, Mexico","","",""
"310","Bolitoglossa oaxacensis Parra-Olea, García-París, and Wake, 2002","Mexico","","Mexico",""
"311","Bolitoglossa occidentalis Taylor, 1941","Guatemala, Mexico","","",""
"312","Bolitoglossa platydactyla (Gray, 1831)","Mexico","","Mexico",""
"313","Bolitoglossa riletti Holman, 1964","Mexico","","Mexico",""
"314","Bolitoglossa rostrata (Brocchi, 1883)","Guatemala, Mexico","","",""
"315","Bolitoglossa rufescens (Cope, 1869)","Belize, Guatemala, Honduras, Mexico","","",""
"316","Bolitoglossa stuarti Wake and Brame, 1969","Guatemala, Mexico","","",""
"317","Bolitoglossa veracrucis Taylor, 1951","Mexico","","Mexico",""
"318","Bolitoglossa yucatana (Peters, 1882)","Belize, Guatemala, Mexico","","",""
"319","Bolitoglossa zapoteca Parra-Olea, García-París, and Wake, 2002","Mexico","","Mexico",""
"320","Bradytriton silus Wake and Elias, 1983","Guatemala, Mexico","","",""
"321","Chiropterotriton arboreus (Taylor, 1941)","Mexico","","Mexico",""
"322","Chiropterotriton aureus García-Castillo, Soto-Pozos, Aguilar-López, Pineda-Arredondo, and Parra-Olea, 2018","Mexico","","Mexico",""
"323","Chiropterotriton casasi Parra-Olea, García-Castillo, Rovito, Maisano, Hanken, and Wake, 2020","Mexico","","Mexico",""
"324","Chiropterotriton ceronorum Parra-Olea, García-Castillo, Rovito, Maisano, Hanken, and Wake, 2020","Mexico","","Mexico",""
"325","Chiropterotriton chico  García-Castillo, Rovito, Wake, and Parra-Olea, 2017","Mexico","","Mexico",""
"326","Chiropterotriton chiropterus (Cope, 1863)","Mexico","","Mexico",""
"327","Chiropterotriton chondrostega (Taylor, 1941)","Mexico","","Mexico",""
"328","Chiropterotriton cieloensis Rovito and Parra-Olea, 2015","Mexico","","Mexico",""
"329","Chiropterotriton cracens Rabb, 1958","Mexico","","Mexico",""
"330","Chiropterotriton dimidiatus (Taylor, 1940)","Mexico","","Mexico",""
"331","Chiropterotriton infernalis Rovito and Parra-Olea, 2015","Mexico","","Mexico",""
"332","Chiropterotriton lavae (Taylor, 1942)","Mexico","","Mexico",""
"333","Chiropterotriton magnipes Rabb, 1965","Mexico","","Mexico",""
"334","Chiropterotriton melipona Parra-Olea, García-Castillo, Rovito, Maisano, Hanken, and Wake, 2020","Mexico","","Mexico",""
"335","Chiropterotriton miquihuanus Campbell, Streicher, Cox, and Brodie, 2014","Mexico","","Mexico",""
"336","Chiropterotriton mosaueri (Woodall, 1941)","Mexico","","Mexico",""
"337","Chiropterotriton multidentatus (Taylor, 1939)","Mexico","","Mexico",""
"338","Chiropterotriton nubilus García-Castillo, Soto-Pozos, Aguilar-López, Pineda-Arredondo, and Parra-Olea, 2018","Mexico","","Mexico",""
"339","Chiropterotriton orculus (Cope, 1865)","Mexico","","Mexico",""
"340","Chiropterotriton perotensis Parra-Olea, García-Castillo, Rovito, Maisano, Hanken, and Wake, 2020","Mexico","","Mexico",""
"341","Chiropterotriton priscus Rabb, 1956","Mexico","","Mexico",""
"342","Chiropterotriton terrestris (Taylor, 1941)","Mexico","","Mexico",""
"343","Chiropterotriton totonacus Parra-Olea, García-Castillo, Rovito, Maisano, Hanken, and Wake, 2020","Mexico","","Mexico",""
"344","Cryptotriton alvarezdeltoroi (Papenfuss and Wake, 1987)","Mexico","","Mexico",""
"345","Dendrotriton megarhinus (Rabb, 1960)","Mexico","","Mexico",""
"346","Dendrotriton rabbi (Lynch and Wake, 1975)","Guatemala","","Guatemala","NA"
"347","Dendrotriton xolocalcae (Taylor, 1941)","Mexico","","Mexico",""
"348","Isthmura bellii (Gray, 1850)","Mexico","","Mexico",""
"349","Isthmura boneti (Alvarez and Martín, 1967)","Mexico","","Mexico",""
"350","Isthmura corrugata Sandoval-Comte, Pineda-Arredondo, Rovito, and Luría-Manzano, 2017","Mexico","","Mexico",""
"351","Isthmura gigantea (Taylor, 1939)","Mexico","","Mexico",""
"352","Isthmura maxima (Parra-Olea, García-París, Papenfuss, and Wake, 2005)","Mexico","","Mexico",""
"353","Isthmura naucampatepetl (Parra-Olea, Papenfuss, and Wake, 2001)","Mexico","","Mexico",""
"354","Isthmura sierraoccidentalis (Lowe, Jones, and Wright, 1968)","Mexico","","Mexico",""
"355","Ixalotriton niger Wake and Johnson, 1989","Mexico","","Mexico",""
"356","Ixalotriton parvus (Lynch and Wake, 1989)","Mexico","","Mexico",""
"357","Nyctanolis pernix Elias and Wake, 1983","Guatemala, Mexico","","",""
"358","Oedipina elongata (Schmidt, 1936)","Belize, Guatemala, Honduras, Mexico","","",""
