Resident,Introduced,Location
Hylarana persimilis,Hylarana erythraea,['Indonesia']
Hylarana rawa,Hylarana erythraea,['Indonesia']
Hylarana rufipes,Hylarana erythraea,['Indonesia']
Hylarana siberu,Hylarana erythraea,['Indonesia']
Hylarana sundabarat,Hylarana erythraea,['Indonesia']
Hylarana supragrisea,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Hylarana volkerjane,Hylarana erythraea,"['Indonesia', ' Indonesia - Papua Region']"
Ingerophrynus biporcatus,Ingerophrynus biporcatus,['Indonesia']
Ingerophrynus celebensis,Ingerophrynus biporcatus,['Indonesia']
Ingerophrynus claviger,Ingerophrynus biporcatus,['Indonesia']
Kaloula conjuncta,Kaloula pulchra,['Philippines']
Kaloula kalingensis,Kaloula pulchra,['Philippines']
Kaloula kokacii,Kaloula pulchra,['Philippines']
Kaloula meridionalis,Kaloula pulchra,['Philippines']
Kaloula picta,Kaloula pulchra,['Philippines']
Kaloula rigida,Kaloula pulchra,['Philippines']
Kaloula walteri,Kaloula pulchra,['Philippines']
Leiopelma archeyi,Leiopelma hamiltoni,['New Zealand']
Leiopelma hamiltoni,Leiopelma hamiltoni,['New Zealand']
Leiopelma hochstetteri,Leiopelma hamiltoni,['New Zealand']
Leptodactylus albilabris,Leptodactylus fallax,[' Puerto Rico']
Leptodactylus avivoca,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus barrioi,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus brevipes,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus caatingae,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus camaquara,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus colombiensis,Leptodactylus fragilis,['Colombia']
Leptodactylus cunicularius,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus cupreus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus diedrus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus flavopictus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus fremitus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus guianensis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus hylodes,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus insularum,Leptodactylus fragilis,['Colombia']
Leptodactylus jolyi,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus kilombo,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus latrans,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus lauramiriamae,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus lithonaetes,Leptodactylus fragilis,['Colombia']
Leptodactylus longirostris,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus marambaiae,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus myersi,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus natalensis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus notoaktites,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus oreomantis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus paraensis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus paranaru,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus payaya,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus pentadactylus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus petersii,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus poecilochilus,Leptodactylus fragilis,['Colombia']
Leptodactylus pustulatus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus rhodomerus,Leptodactylus fragilis,['Colombia']
Leptodactylus riveroi,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus rugosus,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus sabanensis,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus savagei,Leptodactylus fragilis,['Colombia']
Leptodactylus spixi,Leptodactylus labyrinthicus,['Brazil']
Leptodactylus stenodema,Leptodactylus labyrinthicus,['Brazil']
